UTC,Open,High,Low,Close,Volume
01.01.2019 23:00:00.000 UTC,12.8255,12.826,12.807865,12.813015,1728
02.01.2019 00:00:00.000 UTC,12.812915,12.819099999999999,12.800515,12.801665,1804
02.01.2019 01:00:00.000 UTC,12.801715,12.8033,12.788335,12.799185000000001,3936
02.01.2019 02:00:00.000 UTC,12.799185,12.827715000000001,12.7972,12.827715000000001,4356
02.01.2019 03:00:00.000 UTC,12.827765,12.834665000000001,12.822365,12.823465,2165
02.01.2019 04:00:00.000 UTC,12.8234,12.841864999999999,12.8214,12.840465,2529
02.01.2019 05:00:00.000 UTC,12.840565,12.86585,12.838535,12.863215,3999
02.01.2019 06:00:00.000 UTC,12.863265,12.874485,12.857199999999999,12.8594,4275
02.01.2019 07:00:00.000 UTC,12.859385,12.865665,12.846985,12.85575,5415
02.01.2019 08:00:00.000 UTC,12.85505,12.887035000000001,12.85,12.8816,6998
02.01.2019 09:00:00.000 UTC,12.88155,12.888214999999999,12.870764999999999,12.871635000000001,5347
02.01.2019 10:00:00.000 UTC,12.871685,12.879615000000001,12.864685000000001,12.874265000000001,3635
02.01.2019 11:00:00.000 UTC,12.874115,12.877465,12.864315000000001,12.86535,3650
02.01.2019 12:00:00.000 UTC,12.865215,12.865215,12.841935,12.856034999999999,5621
02.01.2019 13:00:00.000 UTC,12.855635,12.87445,12.833884999999999,12.8437,11099
02.01.2019 14:00:00.000 UTC,12.84365,12.851714999999999,12.82085,12.8372,9900
02.01.2019 15:00:00.000 UTC,12.83705,12.871165000000001,12.829685000000001,12.8589,10464
02.01.2019 16:00:00.000 UTC,12.85895,12.87785,12.833685,12.853449999999999,6835
02.01.2019 17:00:00.000 UTC,12.852965,12.866215,12.8414,12.8415,4310
02.01.2019 18:00:00.000 UTC,12.840499999999999,12.84175,12.787835000000001,12.794485000000002,5714
02.01.2019 19:00:00.000 UTC,12.794535,12.81645,12.791885,12.816335,4614
02.01.2019 20:00:00.000 UTC,12.81635,12.83375,12.808685,12.832650000000001,3151
02.01.2019 21:00:00.000 UTC,12.8326,12.850650000000002,12.824300000000001,12.8458,1417
02.01.2019 23:00:00.000 UTC,12.862,12.9026,12.85585,12.86,3181
03.01.2019 00:00:00.000 UTC,12.85975,12.87495,12.85275,12.868200000000002,5926
03.01.2019 01:00:00.000 UTC,12.868500000000001,12.886800000000001,12.85215,12.884,5904
03.01.2019 02:00:00.000 UTC,12.8839,12.897685,12.880199999999999,12.886015,4334
03.01.2019 03:00:00.000 UTC,12.88585,12.889765,12.8767,12.8798,2270
03.01.2019 04:00:00.000 UTC,12.8797,12.88895,12.877965,12.884665,1772
03.01.2019 05:00:00.000 UTC,12.884699999999999,12.9028,12.877965,12.9011,3939
03.01.2019 06:00:00.000 UTC,12.90105,12.923665,12.895,12.921600000000002,4600
03.01.2019 07:00:00.000 UTC,12.92225,12.924015,12.886600000000001,12.897385,8775
03.01.2019 08:00:00.000 UTC,12.897485,12.907265,12.882265,12.897665,10157
03.01.2019 09:00:00.000 UTC,12.897649999999999,12.898115,12.874035,12.881885,6150
03.01.2019 10:00:00.000 UTC,12.881785,12.889135,12.870484999999999,12.882435000000001,5889
03.01.2019 11:00:00.000 UTC,12.882635,12.883435,12.862485,12.87295,6090
03.01.2019 12:00:00.000 UTC,12.873115,12.892515,12.871385,12.8814,5423
03.01.2019 13:00:00.000 UTC,12.881385,12.9018,12.8464,12.878515,10673
03.01.2019 14:00:00.000 UTC,12.878464999999998,12.892765,12.8691,12.87875,8118
03.01.2019 15:00:00.000 UTC,12.8789,12.91415,12.875385000000001,12.898599999999998,18371
03.01.2019 16:00:00.000 UTC,12.898634999999999,12.909815,12.884,12.8934,12433
03.01.2019 17:00:00.000 UTC,12.893365,12.910065,12.890215000000001,12.904914999999999,6652
03.01.2019 18:00:00.000 UTC,12.904499999999999,12.931015,12.902000000000001,12.9118,5535
03.01.2019 19:00:00.000 UTC,12.91235,12.935414999999999,12.9108,12.9345,2827
03.01.2019 20:00:00.000 UTC,12.9344,12.95075,12.9231,12.95075,4712
03.01.2019 21:00:00.000 UTC,12.949750000000002,12.949750000000002,12.938635,12.9423,1203
03.01.2019 23:00:00.000 UTC,12.9411,12.953665,12.929965,12.952715000000001,2576
04.01.2019 00:00:00.000 UTC,12.95295,12.9714,12.950164999999998,12.969065,5552
04.01.2019 01:00:00.000 UTC,12.969014999999999,12.986365,12.96499,12.970935,6869
04.01.2019 02:00:00.000 UTC,12.97085,12.981565,12.967400000000001,12.968399999999999,4798
04.01.2019 03:00:00.000 UTC,12.968415,12.969415000000001,12.946085,12.956585,4515
04.01.2019 04:00:00.000 UTC,12.956535,12.957535,12.942985,12.945635,3439
04.01.2019 05:00:00.000 UTC,12.945485,12.96385,12.940484999999999,12.955765,3817
04.01.2019 06:00:00.000 UTC,12.95535,12.958885,12.941514999999999,12.943915,3163
04.01.2019 07:00:00.000 UTC,12.944365000000001,12.951815,12.93126,12.946465,6199
04.01.2019 08:00:00.000 UTC,12.946415,12.954065,12.9133,12.9186,5842
04.01.2019 09:00:00.000 UTC,12.91865,12.92665,12.8946,12.902285,5169
04.01.2019 10:00:00.000 UTC,12.90225,12.912065,12.89995,12.912065,3754
04.01.2019 11:00:00.000 UTC,12.912015,12.921965,12.909,12.913765,2478
04.01.2019 12:00:00.000 UTC,12.913815,12.9178,12.905885000000001,12.912334999999999,2840
04.01.2019 13:00:00.000 UTC,12.912485,12.9181,12.85955,12.878035,12865
04.01.2019 14:00:00.000 UTC,12.878084999999999,12.878885,12.766935,12.779385000000001,17079
04.01.2019 15:00:00.000 UTC,12.780235000000001,12.847435,12.770434999999999,12.83695,17819
