timestamp,open,high,low,close
1735689600000,2624.255,2624.255,2624.255,2624.255
1735689900000,2624.255,2624.255,2624.255,2624.255
1735690200000,2624.255,2624.255,2624.255,2624.255
1735690500000,2624.255,2624.255,2624.255,2624.255
1735690800000,2624.255,2624.255,2624.255,2624.255
1735691100000,2624.255,2624.255,2624.255,2624.255
1735691400000,2624.255,2624.255,2624.255,2624.255
1735691700000,2624.255,2624.255,2624.255,2624.255
1735692000000,2624.255,2624.255,2624.255,2624.255
1735692300000,2624.255,2624.255,2624.255,2624.255
1735692600000,2624.255,2624.255,2624.255,2624.255
1735692900000,2624.255,2624.255,2624.255,2624.255
1735693200000,2624.255,2624.255,2624.255,2624.255
1735693500000,2624.255,2624.255,2624.255,2624.255
1735693800000,2624.255,2624.255,2624.255,2624.255
1735694100000,2624.255,2624.255,2624.255,2624.255
1735694400000,2624.255,2624.255,2624.255,2624.255
1735694700000,2624.255,2624.255,2624.255,2624.255
1735695000000,2624.255,2624.255,2624.255,2624.255
1735695300000,2624.255,2624.255,2624.255,2624.255
1735695600000,2624.255,2624.255,2624.255,2624.255
1735695900000,2624.255,2624.255,2624.255,2624.255
1735696200000,2624.255,2624.255,2624.255,2624.255
1735696500000,2624.255,2624.255,2624.255,2624.255
1735696800000,2624.255,2624.255,2624.255,2624.255
1735697100000,2624.255,2624.255,2624.255,2624.255
1735697400000,2624.255,2624.255,2624.255,2624.255
1735697700000,2624.255,2624.255,2624.255,2624.255
1735698000000,2624.255,2624.255,2624.255,2624.255
1735698300000,2624.255,2624.255,2624.255,2624.255
1735698600000,2624.255,2624.255,2624.255,2624.255
1735698900000,2624.255,2624.255,2624.255,2624.255
1735699200000,2624.255,2624.255,2624.255,2624.255
1735699500000,2624.255,2624.255,2624.255,2624.255
1735699800000,2624.255,2624.255,2624.255,2624.255
1735700100000,2624.255,2624.255,2624.255,2624.255
1735700400000,2624.255,2624.255,2624.255,2624.255
1735700700000,2624.255,2624.255,2624.255,2624.255
1735701000000,2624.255,2624.255,2624.255,2624.255
1735701300000,2624.255,2624.255,2624.255,2624.255
1735701600000,2624.255,2624.255,2624.255,2624.255
1735701900000,2624.255,2624.255,2624.255,2624.255
1735702200000,2624.255,2624.255,2624.255,2624.255
1735702500000,2624.255,2624.255,2624.255,2624.255
1735702800000,2624.255,2624.255,2624.255,2624.255
1735703100000,2624.255,2624.255,2624.255,2624.255
1735703400000,2624.255,2624.255,2624.255,2624.255
1735703700000,2624.255,2624.255,2624.255,2624.255
1735704000000,2624.255,2624.255,2624.255,2624.255
1735704300000,2624.255,2624.255,2624.255,2624.255
1735704600000,2624.255,2624.255,2624.255,2624.255
1735704900000,2624.255,2624.255,2624.255,2624.255
1735705200000,2624.255,2624.255,2624.255,2624.255
1735705500000,2624.255,2624.255,2624.255,2624.255
1735705800000,2624.255,2624.255,2624.255,2624.255
1735706100000,2624.255,2624.255,2624.255,2624.255
1735706400000,2624.255,2624.255,2624.255,2624.255
1735706700000,2624.255,2624.255,2624.255,2624.255
1735707000000,2624.255,2624.255,2624.255,2624.255
1735707300000,2624.255,2624.255,2624.255,2624.255
1735707600000,2624.255,2624.255,2624.255,2624.255
1735707900000,2624.255,2624.255,2624.255,2624.255
1735708200000,2624.255,2624.255,2624.255,2624.255
1735708500000,2624.255,2624.255,2624.255,2624.255
1735708800000,2624.255,2624.255,2624.255,2624.255
1735709100000,2624.255,2624.255,2624.255,2624.255
1735709400000,2624.255,2624.255,2624.255,2624.255
1735709700000,2624.255,2624.255,2624.255,2624.255
1735710000000,2624.255,2624.255,2624.255,2624.255
1735710300000,2624.255,2624.255,2624.255,2624.255
1735710600000,2624.255,2624.255,2624.255,2624.255
1735710900000,2624.255,2624.255,2624.255,2624.255
1735711200000,2624.255,2624.255,2624.255,2624.255
1735711500000,2624.255,2624.255,2624.255,2624.255
1735711800000,2624.255,2624.255,2624.255,2624.255
1735712100000,2624.255,2624.255,2624.255,2624.255
1735712400000,2624.255,2624.255,2624.255,2624.255
1735712700000,2624.255,2624.255,2624.255,2624.255
1735713000000,2624.255,2624.255,2624.255,2624.255
1735713300000,2624.255,2624.255,2624.255,2624.255
1735713600000,2624.255,2624.255,2624.255,2624.255
1735713900000,2624.255,2624.255,2624.255,2624.255
1735714200000,2624.255,2624.255,2624.255,2624.255
1735714500000,2624.255,2624.255,2624.255,2624.255
1735714800000,2624.255,2624.255,2624.255,2624.255
1735715100000,2624.255,2624.255,2624.255,2624.255
1735715400000,2624.255,2624.255,2624.255,2624.255
1735715700000,2624.255,2624.255,2624.255,2624.255
1735716000000,2624.255,2624.255,2624.255,2624.255
1735716300000,2624.255,2624.255,2624.255,2624.255
1735716600000,2624.255,2624.255,2624.255,2624.255
1735716900000,2624.255,2624.255,2624.255,2624.255
1735717200000,2624.255,2624.255,2624.255,2624.255
1735717500000,2624.255,2624.255,2624.255,2624.255
1735717800000,2624.255,2624.255,2624.255,2624.255
1735718100000,2624.255,2624.255,2624.255,2624.255
1735718400000,2624.255,2624.255,2624.255,2624.255
1735718700000,2624.255,2624.255,2624.255,2624.255
1735719000000,2624.255,2624.255,2624.255,2624.255
1735719300000,2624.255,2624.255,2624.255,2624.255
1735719600000,2624.255,2624.255,2624.255,2624.255
1735719900000,2624.255,2624.255,2624.255,2624.255
1735720200000,2624.255,2624.255,2624.255,2624.255
1735720500000,2624.255,2624.255,2624.255,2624.255
1735720800000,2624.255,2624.255,2624.255,2624.255
1735721100000,2624.255,2624.255,2624.255,2624.255
1735721400000,2624.255,2624.255,2624.255,2624.255
1735721700000,2624.255,2624.255,2624.255,2624.255
1735722000000,2624.255,2624.255,2624.255,2624.255
1735722300000,2624.255,2624.255,2624.255,2624.255
1735722600000,2624.255,2624.255,2624.255,2624.255
1735722900000,2624.255,2624.255,2624.255,2624.255
1735723200000,2624.255,2624.255,2624.255,2624.255
1735723500000,2624.255,2624.255,2624.255,2624.255
1735723800000,2624.255,2624.255,2624.255,2624.255
1735724100000,2624.255,2624.255,2624.255,2624.255
1735724400000,2624.255,2624.255,2624.255,2624.255
1735724700000,2624.255,2624.255,2624.255,2624.255
1735725000000,2624.255,2624.255,2624.255,2624.255
1735725300000,2624.255,2624.255,2624.255,2624.255
1735725600000,2624.255,2624.255,2624.255,2624.255
1735725900000,2624.255,2624.255,2624.255,2624.255
1735726200000,2624.255,2624.255,2624.255,2624.255
1735726500000,2624.255,2624.255,2624.255,2624.255
1735726800000,2624.255,2624.255,2624.255,2624.255
1735727100000,2624.255,2624.255,2624.255,2624.255
1735727400000,2624.255,2624.255,2624.255,2624.255
1735727700000,2624.255,2624.255,2624.255,2624.255
1735728000000,2624.255,2624.255,2624.255,2624.255
1735728300000,2624.255,2624.255,2624.255,2624.255
1735728600000,2624.255,2624.255,2624.255,2624.255
1735728900000,2624.255,2624.255,2624.255,2624.255
1735729200000,2624.255,2624.255,2624.255,2624.255
1735729500000,2624.255,2624.255,2624.255,2624.255
1735729800000,2624.255,2624.255,2624.255,2624.255
1735730100000,2624.255,2624.255,2624.255,2624.255
1735730400000,2624.255,2624.255,2624.255,2624.255
1735730700000,2624.255,2624.255,2624.255,2624.255
1735731000000,2624.255,2624.255,2624.255,2624.255
1735731300000,2624.255,2624.255,2624.255,2624.255
1735731600000,2624.255,2624.255,2624.255,2624.255
1735731900000,2624.255,2624.255,2624.255,2624.255
1735732200000,2624.255,2624.255,2624.255,2624.255
1735732500000,2624.255,2624.255,2624.255,2624.255
1735732800000,2624.255,2624.255,2624.255,2624.255
1735733100000,2624.255,2624.255,2624.255,2624.255
1735733400000,2624.255,2624.255,2624.255,2624.255
1735733700000,2624.255,2624.255,2624.255,2624.255
1735734000000,2624.255,2624.255,2624.255,2624.255
1735734300000,2624.255,2624.255,2624.255,2624.255
1735734600000,2624.255,2624.255,2624.255,2624.255
1735734900000,2624.255,2624.255,2624.255,2624.255
1735735200000,2624.255,2624.255,2624.255,2624.255
