timestamp,open,high,low,close,volume
1546372800000,1282.295,1282.345,1280.598,1281.118,0.9971
1546387200000,1281.118,1283.328,1278.695,1282.178,3.4288
1546401600000,1282.178,1287.315,1281.978,1285.435,4.9841
1546416000000,1285.388,1288.668,1284.835,1286.388,6.759
1546430400000,1286.388,1287.288,1281.875,1285.755,13.5255
1546444800000,1285.755,1287.648,1278.625,1281.475,6.0853
1546459200000,1281.475,1290.148,1280.715,1285.815,2.3866
1546473600000,1285.795,1289.625,1285.028,1287.808,6.8831
1546488000000,1287.808,1292.268,1287.618,1289.605,7.614
1546502400000,1289.625,1290.618,1286.088,1287.128,9.8621
1546516800000,1287.158,1291.278,1284.485,1289.698,15.4579
1546531200000,1289.705,1293.398,1288.248,1293.318,11.0836
1546545600000,1293.298,1295.218,1292.165,1295.118,2.867
1546560000000,1295.135,1298.538,1294.445,1295.495,8.5002
1546574400000,1295.485,1296.225,1293,1294.498,6.3873
1546588800000,1294.488,1295.268,1289.328,1291.218,5.192
1546603200000,1291.218,1291.655,1276.565,1283.558,17.0518
1546617600000,1283.548,1286.098,1282.345,1284.245,9.2543
1546632000000,1284.215,1285.798,1284.005,1284.945,1.609
1546804800000,1285.048,1286.355,1284.045,1284.155,0.777
1546819200000,1284.158,1289.735,1282.555,1288.765,4.7934
1546833600000,1288.765,1291.888,1288.505,1291.338,5.5159
1546848000000,1291.358,1292.328,1289.745,1290.845,5.121
1546862400000,1290.845,1294.998,1287.585,1288.785,10.0004
1546876800000,1288.765,1288.938,1286.145,1288.315,4.9499
1546891200000,1288.315,1289.558,1286.715,1288.815,1.7982
1546905600000,1288.825,1290.158,1283.288,1283.735,5.4295
1546920000000,1283.745,1284.708,1281.585,1282.725,6.1069
1546934400000,1282.695,1284.005,1282.045,1283.295,5.5221
1546948800000,1283.295,1286.268,1279.315,1284.965,9.8701
1546963200000,1284.965,1286.948,1283.798,1285.098,4.6008
1546977600000,1285.005,1285.448,1284.248,1285.075,1.2501
1546992000000,1285.125,1287.015,1283.195,1283.255,3.2858
1547006400000,1283.255,1283.585,1281.195,1282.375,3.5308
1547020800000,1282.418,1283.295,1280.025,1281.565,3.0573
1547035200000,1281.565,1291.748,1280,1289.998,10.0661
1547049600000,1289.995,1293.378,1287.625,1291.635,8.1721
1547064000000,1291.635,1293.848,1291.365,1292.878,2.2407
1547078400000,1292.848,1297.018,1291.535,1296.855,4.8885
1547092800000,1296.855,1296.948,1294.705,1295.355,5.4741
1547107200000,1295.355,1296.928,1291.508,1293.008,5.386
1547121600000,1293.008,1294.588,1289.045,1290.018,9.5202
1547136000000,1290.025,1290.025,1286.388,1287.438,6.5851
1547150400000,1287.418,1288.015,1286.035,1287.905,1.7602
1547164800000,1287.905,1291.695,1287.475,1291.245,4.1495
1547179200000,1291.225,1294.498,1291.058,1293.568,5.385
1547193600000,1293.585,1295.088,1291.135,1291.445,4.9886
1547208000000,1291.445,1293.438,1286.928,1290.198,13.2951
1547222400000,1290.218,1290.858,1287.695,1288.015,5.3493
1547236800000,1288.015,1288.438,1287.065,1287.175,1.1327
1547409600000,1287.348,1288.545,1287.248,1288.065,0.4378
1547424000000,1288.055,1292.635,1287.888,1290.855,4.02
1547438400000,1290.848,1293.428,1290.138,1293.128,4.3759
1547452800000,1293.128,1295.805,1291.978,1295.548,6.3008
1547467200000,1295.548,1295.665,1288.385,1290.395,8.8495
1547481600000,1290.388,1292.278,1289.275,1291.848,4.7096
1547496000000,1291.848,1292.458,1290.995,1291.408,1.1237
1547510400000,1291.405,1293.325,1290.328,1291.268,3.6695
1547524800000,1291.178,1291.545,1289.315,1289.565,4.3189
1547539200000,1289.585,1291.158,1287.475,1291.088,5.1913
1547553600000,1291.068,1294.685,1288.225,1291.095,7.962
1547568000000,1291.095,1291.095,1286.665,1290.255,8.7272
1547582400000,1290.318,1290.765,1288.838,1289.565,2.2306
1547596800000,1289.565,1291.098,1288.295,1288.725,3.9362
1547611200000,1288.745,1292.658,1288.725,1289.658,5.0574
1547625600000,1289.688,1291.628,1288.335,1288.655,5.8145
1547640000000,1288.655,1294.915,1287.805,1292.915,8.5106
1547654400000,1292.888,1294.888,1292.155,1293.118,4.072
1547668800000,1293.135,1293.948,1292.408,1292.885,1.8476
1547683200000,1292.878,1295.318,1291.885,1292.445,3.864
1547697600000,1292.435,1293.068,1291.225,1292.855,4.715
1547712000000,1292.835,1294.908,1292.195,1293.978,4.9944
1547726400000,1293.955,1294.438,1288.875,1290.368,9.4348
1547740800000,1290.368,1293.205,1289.495,1290.698,7.229
1547755200000,1290.688,1292.425,1290.558,1292.235,2.9233
1547769600000,1292.245,1292.368,1290.245,1291.655,4.1331
1547784000000,1291.655,1292.175,1289.828,1290.048,2.3657
1547798400000,1290.048,1290.158,1283.555,1284.708,4.8129
1547812800000,1284.718,1286.425,1281.155,1283.238,10.1016
1547827200000,1283.268,1284.398,1281.878,1281.965,5.3014
1547841600000,1281.968,1282.188,1280.555,1281.265,1.0842
1548014400000,1281.455,1283.205,1281.455,1282.525,0.2834
1548028800000,1282.525,1283.465,1281.495,1281.715,2.1026
1548043200000,1281.715,1283.368,1280.998,1282.495,2.5459
1548057600000,1282.475,1282.615,1277.468,1278.248,3.5305
1548072000000,1278.258,1280.968,1276.718,1280.335,2.6853
1548086400000,1280.345,1280.715,1279.815,1280.138,0.4566
1548100800000,1279.535,1280.455,1279.535,1279.615,0.3092
1548115200000,1279.615,1280.228,1277.715,1278.785,3.0299
1548129600000,1278.795,1281.468,1277.365,1281.175,4.2413
1548144000000,1281.185,1284.775,1280.985,1282.565,4.7738
1548158400000,1282.568,1284.248,1279.185,1280.205,8.2103
1548172800000,1280.208,1285.395,1280.208,1285.205,5.76
1548187200000,1285.265,1285.425,1283.425,1284.498,2.2887
1548201600000,1284.498,1285.615,1283.005,1283.905,2.2266
1548216000000,1283.905,1285.145,1283.228,1284.468,2.7064
1548230400000,1284.455,1286.438,1284.085,1285.375,3.0827
1548244800000,1285.378,1285.495,1278.605,1282.038,8.2681
1548259200000,1282.048,1285.778,1281.838,1283.435,6.9937
1548273600000,1283.435,1283.795,1282.215,1283.695,1.0346
1548288000000,1283.685,1284.725,1282.678,1282.795,2.8401
1548302400000,1282.798,1283.128,1280,1280.095,3.254
1548316800000,1280.095,1280.648,1278.228,1279.668,6.0185
1548331200000,1279.648,1283.835,1276.585,1282.175,10.6291
1548345600000,1282.185,1283.085,1279.298,1279.838,5.2437
1548360000000,1279.868,1281.718,1279.795,1281.325,1.5986
1548374400000,1281.335,1283.038,1280,1281.745,4.2869
1548388800000,1281.758,1284.958,1281.525,1284.525,2.5309
1548403200000,1284.545,1285.145,1282.348,1284.518,3.8372
1548417600000,1284.508,1299.218,1283.435,1297.425,11.6093
1548432000000,1297.438,1300.225,1296.335,1298.455,4.4731
1548446400000,1298.455,1303.525,1297.875,1302.935,1.482
1548619200000,1301.335,1302.505,1299.895,1299.965,0.2289
1548633600000,1299.965,1303.155,1299.415,1302.645,2.036
1548648000000,1302.645,1304.335,1301.045,1301.755,2.0166
1548662400000,1301.715,1302.345,1299.515,1299.535,3.1318
1548676800000,1299.555,1303.768,1297.615,1302.498,7.6272
1548691200000,1302.498,1304.108,1301.828,1302.478,5.812
1548705600000,1302.478,1304.108,1302.335,1303.778,1.6137
1548720000000,1303.878,1304.485,1302.635,1303.708,2.8359
1548734400000,1303.708,1307.605,1302.868,1307.505,4.0182
1548748800000,1307.505,1309.268,1306.725,1307.618,4.7578
1548763200000,1307.628,1311.665,1306.075,1310.848,10.4366
1548777600000,1310.848,1311.908,1308.575,1310.925,5.7359
1548792000000,1310.965,1311.948,1310.625,1310.645,1.7987
1548806400000,1310.668,1314.068,1310.498,1313.128,2.5322
1548820800000,1313.128,1315.438,1312.985,1314.525,2.7473
1548835200000,1314.545,1315.888,1312.665,1313.285,3.5917
1548849600000,1313.255,1314.058,1309.355,1312.098,8.8846
1548864000000,1312.108,1323.298,1308.945,1319.865,7.5704
1548878400000,1319.865,1321.048,1317.168,1319.138,3.5131
1548892800000,1319.138,1320.688,1317.385,1319.205,3.0249
1548907200000,1319.188,1321.825,1318.495,1320.385,3.8342
1548921600000,1320.388,1323.668,1319.905,1323.285,5.7737
1548936000000,1323.285,1326.248,1321.918,1322.135,9.1899
1548950400000,1322.188,1322.798,1318.658,1320.895,5.7017
1548964800000,1320.908,1321.465,1319.135,1320.995,1.5669
1548979200000,1320.995,1321.788,1317.455,1318.468,2.3962
1548993600000,1318.498,1319.048,1316.568,1318.068,3.4709
1549008000000,1318.088,1321.955,1317.725,1321.405,2.7824
1549022400000,1321.405,1323.465,1316.085,1318.198,9.3432
1549036800000,1318.198,1318.518,1316.135,1317.498,4.8552
1549051200000,1317.505,1319.358,1317.215,1317.265,1.2795
1549224000000,1317.925,1318.965,1316.465,1317.095,0.2905
1549238400000,1317.075,1317.455,1313.445,1313.925,2.8559
1549252800000,1313.905,1314.035,1311.828,1313.535,3.5723
1549267200000,1313.535,1313.585,1310.335,1310.775,4.0514
1549281600000,1310.785,1314.578,1308.535,1313.835,7.9547
1549296000000,1313.835,1315.195,1313.065,1313.465,3.2987
1549310400000,1313.465,1313.638,1311.428,1311.678,1.5733
1549324800000,1311.675,1314.685,1311.178,1314.685,2.808
1549339200000,1314.718,1315.255,1312.685,1312.915,1.9198
1549353600000,1312.945,1314.538,1310.625,1314.498,5.6622
1549368000000,1314.468,1316.825,1312.868,1314.545,5.815
1549382400000,1314.545,1315.378,1312.615,1314.298,5.3665
1549396800000,1314.325,1315.348,1314.088,1314.898,2.1746
1549411200000,1314.835,1315.765,1312.685,1314.215,3.0081
1549425600000,1314.215,1315.208,1312.815,1314.898,2.832
1549440000000,1314.935,1315.548,1311.975,1312.125,4.0108
1549454400000,1312.115,1315.108,1311.488,1312.035,6.4123
1549468800000,1312.058,1312.898,1306.688,1306.905,6.3762
1549483200000,1307.005,1307.625,1305.515,1306.565,2.6421
1549497600000,1306.525,1307.758,1303.418,1303.958,2.9615
1549512000000,1303.958,1305.335,1302.705,1304.385,3.1091
1549526400000,1304.398,1307.325,1303.195,1306.655,3.3686
1549540800000,1306.645,1311.878,1305.425,1308.875,7.7922
1549555200000,1308.925,1311.548,1308.645,1310.345,7.0831
1549569600000,1310.365,1311.148,1309.525,1310.365,2.2104
1549584000000,1310.375,1310.588,1308.245,1308.638,3.1209
1549598400000,1308.638,1309.555,1307.698,1308.945,3.704
1549612800000,1308.945,1312.858,1308.388,1312.168,4.9326
1549627200000,1312.148,1315.378,1311.748,1313.628,6.5548
1549641600000,1313.638,1315.568,1313.358,1315.048,4.6031
1549656000000,1315.078,1315.208,1313.725,1313.945,1.3517
1549828800000,1314.098,1314.098,1313.245,1313.598,0.2993
1549843200000,1313.598,1314.815,1311.148,1311.705,1.9979
1549857600000,1311.705,1312.285,1310.475,1311.168,1.863
1549872000000,1311.168,1311.348,1306.165,1307.585,5.2789
1549886400000,1307.575,1309.148,1303.595,1308.378,7.4744
1549900800000,1308.385,1310.348,1306.965,1308.328,4.8407
1549915200000,1308.298,1308.978,1307.448,1307.695,1.833
1549929600000,1307.675,1309.368,1306.405,1307.505,3.1444
1549944000000,1307.505,1312.818,1307.495,1311.695,2.6002
1549958400000,1311.695,1313.808,1310.685,1313.535,1.5939
1549972800000,1313.535,1314.668,1308.215,1309.765,5.3073
1549987200000,1309.755,1312.588,1308.855,1310.795,3.7975
1550001600000,1310.838,1311.725,1309.988,1310.205,1.1961
1550016000000,1310.205,1312.965,1309.278,1312.965,2.4296
1550030400000,1313.028,1314.205,1311.358,1311.675,1.9549
1550044800000,1311.698,1313.268,1309.728,1311.005,2.6607
1550059200000,1310.995,1318.078,1308.065,1314.415,8.1534
1550073600000,1314.415,1314.895,1305.515,1306.495,5.9189
1550088000000,1306.515,1307.688,1304.975,1307.545,2.1358
1550102400000,1307.545,1309.195,1306.918,1308.305,3.2894
1550116800000,1308.305,1309.315,1307.5,1309.295,2.1437
1550131200000,1309.265,1309.695,1305.345,1305.988,4.2883
1550145600000,1305.998,1312.618,1302.288,1309.298,12.9636
1550160000000,1309.315,1314.308,1309.215,1312.808,5.9174
1550174400000,1312.818,1313.008,1311.575,1311.875,1.4967
1550188800000,1311.875,1313.228,1311.328,1312.445,2.0013
1550203200000,1312.508,1314.958,1311.798,1314.435,2.7443
1550217600000,1314.495,1319.128,1314.235,1318.385,3.8382
1550232000000,1318.335,1319.905,1314.145,1314.485,6.2885
1550246400000,1314.465,1321.798,1314.375,1321.355,6.3887
1550260800000,1321.315,1322.555,1320.752,1321.035,1.5225
1550433600000,1320.882,1321.445,1320.405,1321.058,0.504
1550448000000,1321.088,1325.225,1320.798,1324.515,2.5643
1550462400000,1324.515,1324.585,1321.665,1321.865,2.2675
1550476800000,1321.865,1325.165,1321.255,1324.858,2.0475
1550491200000,1324.825,1327.545,1324.588,1325.888,2.4702
1550505600000,1325.858,1326.718,1325.435,1326.375,0.5713
1550520000000,1326.145,1326.648,1326.015,1326.368,0.1264
1550534400000,1326.368,1326.478,1324.058,1324.745,2.2259
1550548800000,1324.738,1325.928,1322.778,1325.838,3.1584
1550563200000,1325.828,1330.388,1325.495,1328.835,4.5681
1550577600000,1328.845,1339.328,1328.555,1338.105,6.5667
1550592000000,1338.115,1341.778,1335.985,1339.795,7.5867
1550606400000,1339.788,1341.268,1339.258,1339.488,1.984
1550620800000,1339.498,1346.655,1339.255,1344.025,4.0935
1550635200000,1344.025,1344.025,1341.278,1342.505,3.0874
1550649600000,1342.515,1345.305,1341.565,1343.608,3.9282
1550664000000,1343.585,1345.828,1342.085,1344.738,7.0978
1550678400000,1344.738,1346.285,1336.798,1341.048,7.4613
1550692800000,1340.988,1341.665,1337.418,1340.555,1.7406
1550707200000,1340.545,1341.425,1337.388,1339.835,4.767
1550721600000,1339.835,1340.785,1337.415,1338.898,5.8188
1550736000000,1338.895,1340.398,1331.965,1333.825,11.4378
1550750400000,1333.825,1337.278,1330,1332.095,17.5061
1550764800000,1331.995,1332.068,1324.038,1326.438,11.4024
1550779200000,1326.438,1326.538,1320.858,1325.785,2.8666
1550793600000,1325.785,1326.408,1324.038,1325.275,3.7941
1550808000000,1325.275,1326.575,1324.448,1326.355,2.9446
1550822400000,1326.355,1326.925,1321.468,1323.055,6.2967
1550836800000,1323.055,1330.648,1322.155,1329.325,11.8028
1550851200000,1329.295,1333.038,1327.618,1327.668,9.4422
1550865600000,1327.685,1328.605,1327.145,1327.885,1.2341
1551038400000,1328.835,1329.025,1326.795,1327.665,0.1742
1551052800000,1327.665,1331.775,1327.515,1331.275,3.2441
1551067200000,1331.265,1331.895,1328.978,1330.308,3.2187
1551081600000,1330.315,1331.065,1327.755,1330.445,3.6019
1551096000000,1330.455,1332.485,1325.115,1329.275,8.1758
1551110400000,1329.245,1329.295,1325.495,1327.978,4.9863
1551124800000,1327.958,1328.288,1326.528,1327.455,1.8946
1551139200000,1327.438,1330.128,1326.595,1329.015,2.1931
1551153600000,1329.075,1329.648,1324.585,1324.875,1.862
1551168000000,1324.885,1327.408,1324.435,1325.045,2.9428
1551182400000,1325.058,1327.718,1323.445,1327.168,6.2988
1551196800000,1327.168,1329.468,1324.855,1329.248,7.3532
1551211200000,1329.248,1329.408,1328.208,1329.185,2.7297
1551225600000,1329.185,1329.808,1326.375,1327.185,0.9312
1551240000000,1327.145,1328.235,1326.348,1326.725,3.8217
1551254400000,1326.725,1328.145,1325.635,1326.908,5.644
1551268800000,1326.918,1328.765,1321.975,1323.448,10.9851
1551283200000,1323.438,1323.798,1316.815,1319.005,10.3107
1551297600000,1319.005,1321.228,1318.918,1321.085,1.5786
1551312000000,1321.075,1321.205,1317.158,1318.808,2.3722
1551326400000,1318.795,1322.915,1318.115,1321.838,2.8905
1551340800000,1321.835,1327.228,1321.705,1325.885,6.1722
1551355200000,1325.865,1326.965,1312.918,1315.325,9.9174
1551369600000,1315.315,1316.575,1313.268,1313.605,5.2176
1551384000000,1313.595,1314.455,1312.518,1314.138,1.4914
1551398400000,1314.155,1315.138,1312.195,1313.118,3.5301
1551412800000,1313.105,1313.478,1308.265,1308.935,4.4902
1551427200000,1308.935,1310.558,1306.115,1308.805,7.7746
1551441600000,1308.805,1312.125,1304.3,1305.478,9.1581
1551456000000,1305.478,1305.748,1292.075,1293.248,13.6274
1551470400000,1293.248,1293.815,1290.098,1293.055,2.4468
1551643200000,1292.705,1296.135,1292.705,1295.158,0.346
1551657600000,1295.158,1296.995,1293.475,1296.635,3.0526
1551672000000,1296.655,1296.835,1291.235,1291.235,3.3312
1551686400000,1291.235,1291.978,1285.045,1286.135,4.3543
1551700800000,1286.145,1289.458,1282.758,1285.515,8.5458
1551715200000,1285.515,1289.698,1285.515,1286.998,9.2992
1551729600000,1287.008,1287.615,1286.048,1287.025,2.5665
1551744000000,1287.025,1289.535,1285.525,1288.175,3.439
1551758400000,1288.248,1288.958,1284.398,1285.008,4.0258
1551772800000,1285.005,1286.505,1283.418,1285.828,8.9255
1551787200000,1285.828,1287.708,1281.128,1284.148,14.3367
1551801600000,1284.148,1286.968,1282.445,1286.655,7.71
1551816000000,1286.655,1288.298,1286.648,1287.875,1.57
1551830400000,1287.935,1289.318,1285.918,1287.068,2.3712
1551844800000,1287.068,1290.885,1286.365,1289.095,3.656
1551859200000,1289.095,1289.328,1284.865,1285.515,4.0816
1551873600000,1285.515,1288.485,1283.545,1286.158,11.4325
1551888000000,1286.148,1287.588,1284.975,1285.758,9.1346
1551902400000,1285.798,1287.515,1285.145,1287.095,2.2869
1551916800000,1287.095,1288.475,1286.315,1286.535,1.3449
1551931200000,1286.528,1286.778,1283.858,1284.315,3.2515
1551945600000,1284.318,1287.475,1280.485,1286.528,6.1483
1551960000000,1286.525,1288.975,1282.735,1286.658,13.3911
1551974400000,1286.735,1287.378,1284.195,1285.495,11.519
1551988800000,1285.498,1286.558,1284.968,1285.918,2.822
1552003200000,1285.908,1287.518,1285.128,1287.075,2.2438
1552017600000,1287.075,1294.518,1286.828,1293.795,4.7208
1552032000000,1293.785,1295.725,1292.245,1293.138,7.5994
1552046400000,1293.088,1300.708,1291.425,1296.878,12.9417
1552060800000,1296.868,1300.068,1296.825,1299.248,8.6092
1552075200000,1299.268,1300.598,1297.905,1298.055,2.9044
1552248000000,1297.765,1297.955,1296.115,1296.535,0.1677
1552262400000,1297.215,1298.305,1295.605,1297.215,1.8078
1552276800000,1297.205,1299.045,1295.455,1296.425,3.4669
1552291200000,1296.425,1297.638,1294.085,1294.848,5.9513
1552305600000,1294.848,1296.898,1290.925,1292.815,10.7775
1552320000000,1292.848,1293.775,1290.395,1293.748,4.4419
1552334400000,1293.715,1293.855,1291.988,1292.525,0.9146
1552348800000,1292.525,1296.905,1292.395,1296.158,2.0148
1552363200000,1296.158,1297.355,1294.325,1294.638,2.6324
1552377600000,1294.628,1297.798,1294.405,1296.198,10.2648
1552392000000,1296.188,1299.528,1295.458,1296.995,11.9687
1552406400000,1297.015,1302.148,1296.768,1301.598,5.8404
1552420800000,1301.598,1302.048,1300.505,1301.888,1.2541
1552435200000,1301.888,1305.718,1301.655,1304.845,2.1475
1552449600000,1304.845,1305.388,1303.635,1304.218,2.606
1552464000000,1304.228,1309.075,1303.845,1307.565,5.7362
1552478400000,1307.548,1309.328,1305.925,1307.878,9.8811
1552492800000,1307.848,1311.168,1307.315,1310.628,7.5936
1552507200000,1310.638,1310.938,1307.695,1309.338,0.8943
1552521600000,1309.345,1309.735,1304.078,1304.148,2.65
1552536000000,1304.158,1304.583,1301.585,1302.225,5.2564
1552550400000,1302.215,1303.115,1295.818,1297.315,10.5413
1552564800000,1297.295,1298.855,1292.775,1295.495,9.616
1552579200000,1295.475,1297.018,1293.145,1295.875,4.9872
1552593600000,1295.865,1296.655,1295.155,1296.065,0.6067
1552608000000,1296.065,1299.915,1293.928,1298.055,3.3222
1552622400000,1298.055,1303.768,1297.045,1303.498,4.4176
1552636800000,1303.528,1304.385,1301.425,1304.128,6.7963
1552651200000,1304.098,1306.328,1300.608,1301.835,10.5017
1552665600000,1301.838,1303.118,1301.278,1301.778,6.2648
1552680000000,1301.768,1302.415,1301.315,1301.875,0.2929
1552852800000,1301.855,1302.485,1300.535,1300.555,0.4931
1552867200000,1300.555,1300.808,1298.155,1299.015,1.8717
1552881600000,1299.035,1304.065,1298.428,1303.985,2.9694
1552896000000,1303.985,1306.058,1303.218,1304.365,4.5271
1552910400000,1304.365,1306.668,1303.325,1304.135,7.0566
1552924800000,1304.135,1304.848,1300.955,1302.695,5.3704
1552939200000,1302.745,1303.885,1302.288,1303.418,0.6153
1552953600000,1303.408,1307.665,1303.365,1307.445,1.4874
1552968000000,1307.438,1307.745,1303.735,1304.535,2.9709
1552982400000,1304.535,1308.848,1303.635,1308.028,6.0346
1552996800000,1308.045,1310.835,1306.795,1307.605,7.2686
1553011200000,1307.578,1308.018,1305.788,1306.398,3.6488
1553025600000,1306.398,1306.938,1304.978,1306.158,0.8247
1553040000000,1306.158,1306.835,1303.765,1304.778,2.6387
1553054400000,1304.785,1306.508,1302.335,1303.298,4.8467
1553068800000,1303.308,1305.288,1301.575,1304.768,8.2415
1553083200000,1304.768,1309.578,1298.605,1300.508,5.8987
1553097600000,1300.498,1316.938,1299.675,1314.238,15.7836
