timestamp,open,high,low,close
1546300800000,1282.185,1282.185,1282.185,1282.185
1546304400000,1282.185,1282.185,1282.185,1282.185
1546308000000,1282.185,1282.185,1282.185,1282.185
1546311600000,1282.185,1282.185,1282.185,1282.185
1546315200000,1282.185,1282.185,1282.185,1282.185
1546318800000,1282.185,1282.185,1282.185,1282.185
1546322400000,1282.185,1282.185,1282.185,1282.185
1546326000000,1282.185,1282.185,1282.185,1282.185
1546329600000,1282.185,1282.185,1282.185,1282.185
1546333200000,1282.185,1282.185,1282.185,1282.185
1546336800000,1282.185,1282.185,1282.185,1282.185
1546340400000,1282.185,1282.185,1282.185,1282.185
1546344000000,1282.185,1282.185,1282.185,1282.185
1546347600000,1282.185,1282.185,1282.185,1282.185
1546351200000,1282.185,1282.185,1282.185,1282.185
1546354800000,1282.185,1282.185,1282.185,1282.185
1546358400000,1282.185,1282.185,1282.185,1282.185
1546362000000,1282.185,1282.185,1282.185,1282.185
1546365600000,1282.185,1282.185,1282.185,1282.185
1546369200000,1282.185,1282.185,1282.185,1282.185
1546372800000,1282.185,1282.185,1282.185,1282.185
1546376400000,1282.185,1282.185,1282.185,1282.185
1546380000000,1282.185,1282.185,1282.185,1282.185
1546383600000,1282.295,1282.345,1280.598,1281.118
1546387200000,1281.118,1281.725,1279.908,1280.008
1546390800000,1280.008,1280.198,1278.695,1279.765
1546394400000,1279.755,1282.628,1279.555,1282.628
1546398000000,1282.638,1283.328,1282.078,1282.178
1546401600000,1282.178,1284.038,1281.978,1283.888
1546405200000,1283.888,1286.448,1283.735,1286.158
1546408800000,1286.158,1287.315,1285.595,1285.775
1546412400000,1285.775,1286.428,1284.535,1285.435
1546416000000,1285.388,1288.555,1284.835,1288.005
1546419600000,1288.005,1288.668,1286.928,1287.025
1546423200000,1287.035,1287.828,1286.325,1287.298
1546426800000,1287.298,1287.608,1286.278,1286.388
1546430400000,1286.388,1286.388,1284.065,1285.465
1546434000000,1285.415,1287.288,1283.255,1284.225
1546437600000,1284.215,1285.028,1281.875,1283.568
1546441200000,1283.568,1286.988,1282.815,1285.755
1546444800000,1285.755,1287.648,1283.245,1285.198
1546448400000,1285.198,1286.498,1283.998,1283.998
1546452000000,1283.898,1284.048,1278.625,1279.315
